fname,telescope,filter,plate_scale,n_stars,median,mean,std,max,mad_sigma,iqr_p16_p84,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
SN08ha_V_comb_swo.fits,swo,V,0.23,25,1.774026295416801,1.8487854771421715,0.3145763553854879,3.066260559932861,0.04910929303800107,0.07866227813569604,False,False,False,False
SN08hj_B_comb_dup.fits,dup,B,0.23,24,1.1497935955516176,1.5213636453809103,0.6196098901445054,3.2386386542548777,0.13875473919206827,1.1725646602213322,False,False,False,False
SN08hj_V_comb_dup.fits,dup,V,0.23,25,1.006444961260875,1.1231130132354181,0.3383085312815538,2.5285577803661625,0.02717514453807567,0.16389658795432993,False,False,False,False
SN08hu_B_comb_dup.fits,dup,B,0.23,25,1.2397817814851315,1.1929460030148349,0.2094649533614354,1.6199538170040928,0.3003149529662085,0.43277347119564635,False,False,False,False
SN08hu_V_comb_dup.fits,dup,V,0.23,25,1.1267449319222036,1.2005762518725829,0.18297476185991168,1.6618296803009651,0.11216879291982852,0.335885807756084,False,False,False,False
SN08hv_V_comb_dup.fits,dup,V,0.23,24,1.134515537618649,1.444020429721913,1.1744560188799822,6.706947272699129,0.07506817757807539,0.17160762306089117,False,False,False,False
SN08ia_B_comb_dup.fits,dup,B,0.23,25,1.020286297209171,1.0921370877359022,0.14268271472433103,1.4824283077673648,0.0615625918016744,0.27414838645101625,False,False,False,False
SN08ia_V_comb_dup.fits,dup,V,0.23,25,1.1193463399470216,1.176321593859697,0.18951937792901272,1.7863408569079278,0.14363672564612662,0.23536528097675435,False,False,False,False
SN09D_B_comb_dup.fits,dup,B,0.23,24,1.0591531536621095,1.314153299375715,0.732275112497467,4.500246542052294,0.01830640671817039,0.5079733120102539,False,False,False,False
SN09D_V_comb_dup.fits,dup,V,0.23,25,0.8780265851303245,1.0883844022382183,0.8271841928866153,5.009943175799005,0.023104823517516925,0.16057942571543216,False,False,False,False
SN09F_B_comb_dup.fits,dup,B,0.23,25,1.4050196251480918,1.500521812826881,0.30197220453406315,2.567282336190651,0.03934473817042045,0.07883494016369386,False,False,False,False
SN09F_V_comb_dup.fits,dup,V,0.23,25,1.0836965869759432,1.232313037905542,0.3031532932173234,2.240560268203888,0.07898547105181741,0.3712301259762001,False,False,False,False
SN09I_B_comb_dup.fits,dup,B,0.23,25,1.1401266809302901,1.3224964717536454,0.4701161391212418,2.87101794949267,0.03277612544323611,0.260239318449039,False,False,False,False
SN09I_V_comb_dup.fits,dup,V,0.23,25,1.1041570152301792,1.8655393401166935,1.6520509041122406,7.13567162599868,0.27517814349392,1.7369350830607273,False,False,False,False
SN09J_B_comb_dup.fits,dup,B,0.23,25,1.390899492157267,1.4225395805664975,0.13519808591432483,2.052961424977405,0.023611241375986886,0.05486010700626176,False,False,False,False
SN09J_V_comb_dup.fits,dup,V,0.23,24,1.1993897837462573,1.3175293820748082,0.4446531035227737,3.3571190905598622,0.04645596051622757,0.1374953805464787,False,False,False,False
SN09P_B_comb_dup.fits,dup,B,0.23,24,1.3693786550403135,1.577487090529541,0.6341207169314426,3.7753152251790607,0.03316450600153139,0.0993868511501681,False,False,False,False
SN09P_V_comb_dup.fits,dup,V,0.23,25,1.0414204663334627,1.1814149642259004,0.473522218083879,3.337331857566403,0.034193965279228467,0.07177375928919671,False,False,False,False
SN09Y_B_comb_dup.fits,dup,B,0.23,25,1.4441452479138568,1.4706846052711817,0.09039217586800866,1.8413994675088905,0.02079955939369664,0.0548461831707272,False,False,False,False
SN09Y_V_comb_dup.fits,dup,V,0.23,25,1.4637117156920725,1.5003490778642332,0.16567872170866732,2.2836404086254496,0.025184378070450552,0.04592267776118919,False,False,False,False
SN09aa_V_comb_swo.fits,swo,V,0.23,25,1.1153049805520645,1.139877314285532,0.11897092487002033,1.6842390589116971,0.03132971962295325,0.08227417287740102,False,False,False,False
SN09ab_B_comb_dup.fits,dup,B,0.23,25,1.0522949654342442,1.0880184207223529,0.1692478405156398,1.888480055270653,0.019016736822259746,0.049573087003006444,False,False,False,False
SN09ab_V_comb_dup.fits,dup,V,0.23,25,0.9543176725741571,1.0380314803374513,0.21823391622307506,1.86037424199137,0.02351289295873933,0.17635119509885122,False,False,False,False
SN09ad_B_comb_dup.fits,dup,B,0.23,25,1.0334978758760707,1.304187862162559,1.1303901240911218,6.693067661663748,0.04681586177372375,0.1475580365515956,False,False,False,False
SN09ad_V_comb_dup.fits,dup,V,0.23,25,1.2751298238526831,1.2902936220395986,0.08400724436461711,1.5927179448922846,0.03928140057839039,0.07986337470380933,False,False,False,False
SN09ag_B_comb_dup.fits,dup,B,0.23,25,0.9638606519081976,1.076091069975431,0.2165473117715912,1.8221150248023499,0.13743527599586614,0.3155962538396636,False,False,False,False
SN09ag_V_comb_dup.fits,dup,V,0.23,25,1.0423527213483181,1.0958494399584484,0.18359315072174212,1.615099209520925,0.1308093044965116,0.24493158299819695,False,False,False,False
SN09al_B_comb_dup.fits,dup,B,0.23,25,1.4065303252831798,1.5182314202424414,0.33495353183427684,2.5593489366740765,0.0573256868876112,0.21583636509202386,False,False,False,False
SN09al_V_comb_dup.fits,dup,V,0.23,25,1.5462455287568542,1.6796330395895027,0.3626935376462946,2.74548615802738,0.08329151872658234,0.3107639955242647,False,False,False,False
SN09cz_B_comb_dup.fits,dup,B,0.23,24,1.1737173317239806,1.567667752599493,0.997198509552491,5.759852509130566,0.11540569527449257,0.8038803351921711,False,False,False,False
SN09cz_V_comb_dup.fits,dup,V,0.23,25,1.0101284965170045,1.0795607668150706,0.19560968978138374,1.9295521071936956,0.06523647048794048,0.1545314039077441,False,False,False,False
SN09dc_B_comb_dup.fits,dup,B,0.23,24,1.8191004126965495,1.8586849948471198,0.195977384067086,2.7699242697923516,0.03193170267080111,0.06419890086543556,False,False,False,False
SN09dc_V_comb_dup.fits,dup,V,0.23,25,1.811561774638449,1.9477273446114032,0.3879407649842604,3.200796628574333,0.04613330584896611,0.06781818971072862,False,False,False,False
SN09ds_B_comb_dup.fits,dup,B,0.23,25,0.8381957671037367,1.0516410023939589,0.44674290754164153,2.3288472465674883,0.07238909721790984,0.7165113274035876,False,False,False,False
SN09ds_V_comb_dup.fits,dup,V,0.23,25,1.0653258071351415,1.3204161255184672,0.6593460343972409,3.8895022771520606,0.10046400436627285,0.5151785412615825,False,False,False,False
SN09le_B_comb_dup.fits,dup,B,0.23,25,0.8915555408243254,0.9722593614803324,0.3133249310103944,2.3375469793877137,0.03652159016294753,0.09397266718092023,False,False,False,False
SN09le_V_comb_dup.fits,dup,V,0.23,25,0.873351772785314,0.9461071660131884,0.24128498116425093,1.8014705009322018,0.022432381367075788,0.08471952491730461,False,False,False,False
SN10ae_B_comb_dup.fits,dup,B,0.23,25,1.6415650806735969,1.6741305089342131,0.0778927077471734,1.9813018862556875,0.03983387662727755,0.09459290875919635,False,False,False,False
SN10ae_V_comb_dup.fits,dup,V,0.23,25,1.5376209442267317,1.6336304446778143,0.31216261953818475,2.7015248817750956,0.07336538914121046,0.12499952350846,False,False,False,False
SN2011im_V_comb_swo.fits,swo,V,0.43,25,1.4452172638072516,1.467042949960281,0.1498432518565957,2.1664040853455524,0.02624354341331346,0.0436891786878153,False,False,False,False
SN2011iv_B_comb_dup.fits,dup,B,0.23,15,1.9368115805269206,1.9551619478061266,0.05764484465721078,2.126192430088548,0.03371153855347138,0.07125674938372506,False,False,False,False
SN2011iv_V_comb_dup.fits,dup,V,0.23,18,1.9215847400264918,2.0249909054095405,0.49655942710082795,3.762379446299325,0.01977372131544034,0.07947908745957077,False,False,False,False
SN2011iv_V_comb_swo.fits,swo,V,0.43,21,1.6276197168514752,1.7458703954784902,0.3353352252967093,2.4815070040766267,0.11946371721601967,0.5477388165817572,False,False,False,False
SN2011iy_B_comb_dup.fits,dup,B,0.23,25,0.7323007662380131,0.8661877878305454,0.38179853443678335,2.563499605222181,0.05324248654631731,0.21073649307488895,False,False,False,False
SN2011iy_V_comb_dup.fits,dup,V,0.23,25,0.7056195018479968,0.8091908051239898,0.3625340465942016,2.483245474714368,0.0729990616380009,0.1608217080510297,False,False,False,False
SN2011iy_V_comb_swo.fits,swo,V,0.43,25,1.4034306929857339,1.4475820254887921,0.1954253505114363,1.8862837462594333,0.048923544521396176,0.12694283724151245,False,False,False,False
SN2011jh_B_comb_dup.fits,dup,B,0.23,23,0.9681470830995504,1.0612521939305533,0.33800559469032543,2.531556193614089,0.017006860759419574,0.052726546974706134,False,False,False,False
SN2011jh_V_comb_dup.fits,dup,V,0.23,25,0.7847219420808316,0.8530807393686349,0.17442403061467446,1.3303625734318443,0.03262934805593207,0.15580515668905315,False,False,False,False
SN2011jh_V_comb_swo.fits,swo,V,0.43,25,1.2169074894268619,1.3457349364307207,0.3742612369847824,2.799905694786516,0.04561974857079782,0.136584104103195,False,False,False,False
SN2011jn_B_comb_dup.fits,dup,B,0.23,25,0.8504647275430127,0.9210159168180739,0.22786883040796574,1.8690126325725263,0.07317100934759478,0.14091804333534552,False,False,False,False
SN2011jn_V_comb_dup.fits,dup,V,0.23,25,0.8907377938562051,0.9972739157830133,0.28722915727641535,1.840594381092722,0.12278346654050691,0.320928036327096,False,False,False,False
SN2011jt_B_comb_dup.fits,dup,B,0.23,24,1.3240334799013045,1.361578900679792,0.14534603797658505,2.0173986912890154,0.0427410387940479,0.08190421007221982,False,False,False,False
SN2011jt_V_comb_dup.fits,dup,V,0.23,25,1.4755160657464494,1.5179422238410953,0.20641727092358078,2.4844052118259516,0.03198974608165745,0.1118785970045717,False,False,False,False
SN2011jt_V_comb_swo.fits,swo,V,0.43,25,1.3654293527802976,1.464983280618243,0.4070243844216646,3.261884825458368,0.048481424584771525,0.09552712897139215,False,False,False,False
SN2012E_B_comb_dup.fits,dup,B,0.23,25,1.205985224838478,1.3238857353961457,0.2876609427998885,2.132713829359888,0.0517554899860024,0.3513916320307575,False,False,False,False
SN2012E_V_comb_dup.fits,dup,V,0.23,25,1.124615994638278,1.2813355115997618,0.3108296068803899,2.006802972250165,0.04442319608649825,0.6727048647021026,False,False,False,False
SN2012E_V_comb_swo.fits,swo,V,0.43,24,1.5276940807931993,1.615292197756009,0.35430799674051916,2.7928664870916613,0.08188438095903391,0.20123828414407918,False,False,False,False
SN2012G_B_comb_dup.fits,dup,B,0.23,16,0.9780481578712901,1.0725901470441948,0.2394577532579907,1.5947977856791742,0.10264574314063218,0.4114172794721549,False,False,False,False
SN2012G_V_comb_dup.fits,dup,V,0.23,22,0.8400539575045157,0.9676017062049618,0.24429784579946662,1.49238543188911,0.06153934975990783,0.5210511090600748,False,False,False,False
SN2012U_B_comb_dup.fits,dup,B,0.23,25,1.2328780698355115,1.4095546121427895,0.7462106561158312,4.913638445721851,0.028524901153127027,0.06460084080394135,False,False,False,False
SN2012U_V_comb_dup.fits,dup,V,0.23,25,1.1888076739024054,1.2352790721437037,0.2168230080096108,2.190363552741269,0.07223117726579024,0.15148345825526155,False,False,False,False
SN2012U_V_comb_swo.fits,swo,V,0.43,25,1.7303077383902743,1.7635035581833676,0.16448741777271056,2.257943474954081,0.13571389755108773,0.2617614308774081,False,False,False,False
SN2012aq_B_comb_dup.fits,dup,B,0.23,20,1.1091045483217676,1.1492319457887112,0.18546060413664237,1.9231562680985097,0.03435520241832495,0.06621455625523609,False,False,False,False
SN2012aq_V_comb_dup.fits,dup,V,0.23,24,1.040180396379591,1.1358226146991834,0.25275227054021465,1.9467011730950707,0.0309750385668775,0.18692544567774316,False,False,False,False
SN2012ar_B_comb_dup.fits,dup,B,0.23,25,0.7494291214179506,0.7445614521607918,0.06902062936051179,0.8798649598759625,0.027466330008441616,0.052447678420266874,False,False,False,False
SN2012ar_V_comb_dup.fits,dup,V,0.23,25,0.6978056017310357,0.7377042457071552,0.13136107498341787,1.1981331636598993,0.027539841099705874,0.069089742884199,False,False,False,False
SN2012ar_V_comb_swo.fits,swo,V,0.43,25,1.325738380268949,1.4000784874121857,0.41952781225224,3.408873512352124,0.04657892079843266,0.0644755711930578,False,False,False,False
SN2012bl_B_comb_dup.fits,dup,B,0.23,25,0.9506011384669317,1.0051808315895823,0.13283786455022994,1.444106397503445,0.021698602972693683,0.143781971709105,False,False,False,False
SN2012bl_V_comb_dup.fits,dup,V,0.23,24,0.9435266407859013,0.9974693849285035,0.18395389745842475,1.8060152523185953,0.048696736887248224,0.14600396635913337,False,False,False,False
SN2012bl_V_comb_swo.fits,swo,V,0.43,25,1.3384787997998724,1.4150683235130996,0.17551278028019304,1.9179535783177213,0.050012206111975224,0.2964308621039693,False,False,False,False
SN2012bo_B_comb_dup.fits,dup,B,0.23,23,0.7262174298231195,0.737638654973384,0.049470657275529635,0.9395142465960272,0.013493534415566322,0.027969701493183785,False,False,False,False
SN2012bo_V_comb_dup.fits,dup,V,0.23,25,0.7062059946277673,0.8124179811144607,0.28370951426122454,2.0131279292246522,0.03411562525312219,0.20708078329472202,False,False,False,False
SN2012bo_V_comb_swo.fits,swo,V,0.43,25,1.3858284075806482,1.4417737483927038,0.23855485569352256,2.390601906554785,0.06806415266867132,0.10872240555062196,False,False,False,False
SN2012fr_B_comb_dup.fits,dup,B,0.23,22,1.5962539963871287,2.1298842692300304,1.353784502095888,5.502671655747542,0.8453708712589252,2.006553247725763,True,False,False,True
SN2012fr_V_comb_dup.fits,dup,V,0.23,20,1.5113217944270922,1.9644723183103316,1.5534136540703165,7.238756393831852,0.8491963094715733,1.4529697870156588,True,False,False,True
SN2012fr_V_comb_swo.fits,swo,V,0.43,25,1.7188499108499715,1.7836541710674947,0.3567757659082471,3.3395247695515113,0.18737219057956192,0.3132262005766251,False,False,False,False
SN2012gm_B_comb_dup.fits,dup,B,0.23,25,1.0314922510710056,1.0520502328550811,0.10724812021789228,1.5411408974421892,0.030179211547616838,0.06824819213716715,False,False,False,False
SN2012gm_V_comb_dup.fits,dup,V,0.23,25,1.0433943117892912,1.0778029705208547,0.15106257876405663,1.7689157873347954,0.033079555719281194,0.08520345605280255,False,False,False,False
SN2012hl_B_comb_dup.fits,dup,B,0.23,15,1.744541331525823,1.7481233282492639,0.05129535318098839,1.8425666669210625,0.06474281190499041,0.10761407170175574,False,False,False,False
SN2012hl_V_comb_dup.fits,dup,V,0.23,24,1.783749949914302,1.789670104459191,0.03192209287469164,1.8567091496675892,0.02926428550619805,0.06563330859957772,False,False,False,False
SN2012id_B_comb_dup.fits,dup,B,0.23,25,1.1051204971997912,1.1132308941273374,0.07389733136993458,1.2630594717387273,0.060907074200346085,0.11080342541210197,False,False,False,False
SN2012id_V_comb_dup.fits,dup,V,0.23,25,1.0424066055457684,1.0431371768502617,0.10729142955052108,1.3837944104585735,0.05744055602055194,0.1477631443893921,False,False,False,False
SN2012ij_B_comb_dup.fits,dup,B,0.23,17,1.0239910327115551,1.0782489338297396,0.19964349618418786,1.7721647530479467,0.04609328836122452,0.0859194274927233,False,False,False,False
SN2012ij_V_comb_dup.fits,dup,V,0.23,23,0.8777766397188809,0.9413316708814459,0.18890794766562544,1.6345997068055724,0.02481352664522653,0.10109822707037985,False,False,False,False
SN2013fy_B_comb_dup.fits,dup,B,0.23,25,0.9909826109791621,1.00668322312041,0.055310968186245354,1.2248531639715894,0.03297715843230779,0.07882353338217019,False,False,False,False
SN2013fy_V_comb_dup.fits,dup,V,0.23,25,1.0560441688728026,1.0897036480891615,0.13270870594724993,1.6762725231231574,0.05412800783379029,0.10910573535286505,False,False,False,False
SN2013fy_V_comb_swo.fits,swo,V,0.43,25,1.6843926276788093,1.7239124598712052,0.14299351189235912,2.2951670843474634,0.04670564271225087,0.1006990217768402,False,False,False,False
SN2013hn_B_comb_dup.fits,dup,B,0.23,25,1.2202904475443275,1.2864038037217853,0.3286368437163836,2.859522859956067,0.01909778129048657,0.046533528652680456,False,False,False,False
SN2013hn_V_comb_dup.fits,dup,V,0.23,25,1.1049347186220786,1.1805677892893613,0.36115926160997097,2.906792603103834,0.031100093665911484,0.058128060109809754,False,False,False,False
